Loaded test-roms/TST8080.COM to 0x0100, Size: 1536 bytes
PC: 0100, AF: 0002, BC: 0000, DE: 0000, HL: 0000, SP: 0000, CYC: 0 (C3 B2 01 4D)
PC: 01B2, AF: 0002, BC: 0000, DE: 0000, HL: 0000, SP: 0000, CYC: 0 (31 BD 07 21)
PC: 01B5, AF: 0002, BC: 0000, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (21 03 01 CD)
PC: 01B8, AF: 0002, BC: 0000, DE: 0000, HL: 0103, SP: 07BD, CYC: 0 (CD 4B 01 E6)
PC: 014B, AF: 0002, BC: 0000, DE: 0000, HL: 0103, SP: 07BB, CYC: 0 (D5 EB 0E 09)
PC: 014C, AF: 0002, BC: 0000, DE: 0000, HL: 0103, SP: 07B9, CYC: 0 (EB 0E 09 CD)
PC: 014D, AF: 0002, BC: 0000, DE: 0103, HL: 0000, SP: 07B9, CYC: 0 (0E 09 CD 05)
PC: 014F, AF: 0002, BC: 0009, DE: 0103, HL: 0000, SP: 07B9, CYC: 0 (CD 05 00 D1)
PC: 0005, AF: 0002, BC: 0009, DE: 0103, HL: 0000, SP: 07B7, CYC: 0 (D3 01 C9 00)
MICROCOSM ASSOCIATES 8080/8085 CPU DIAGNOSTIC
 VERSION 1.0  (C) 1980
PC: 0007, AF: 0002, BC: 0009, DE: 0103, HL: 0000, SP: 07B7, CYC: 0 (C9 00 00 00)
PC: 0152, AF: 0002, BC: 0009, DE: 0103, HL: 0000, SP: 07B9, CYC: 0 (D1 C9 0E 02)
PC: 0153, AF: 0002, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (C9 0E 02 CD)
PC: 01BB, AF: 0002, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E6 00 CA C3)
PC: 01BD, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA C3 01 CD)
PC: 01C3, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D2 C9 01 CD)
PC: 01C9, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (EA CF 01 CD)
PC: 01CF, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (F2 D5 01 CD)
PC: 01D5, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C2 E4 01 DA)
PC: 01D8, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DA E4 01 E2)
PC: 01DB, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E2 E4 01 FA)
PC: 01DE, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FA E4 01 C3)
PC: 01E1, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C3 E7 01 CD)
PC: 01E7, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C6 06 C2 EF)
PC: 01E9, AF: 0606, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C2 EF 01 CD)
PC: 01EF, AF: 0606, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DA F8 01 E2)
PC: 01F2, AF: 0606, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E2 F8 01 F2)
PC: 01F5, AF: 0606, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (F2 FB 01 CD)
PC: 01FB, AF: 0606, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C6 70 E2 03)
PC: 01FD, AF: 7602, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E2 03 02 CD)
PC: 0203, AF: 7602, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FA 0C 02 CA)
PC: 0206, AF: 7602, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 0C 02 D2)
PC: 0209, AF: 7602, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D2 0F 02 CD)
PC: 020F, AF: 7602, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C6 81 FA 17)
PC: 0211, AF: F782, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FA 17 02 CD)
PC: 0217, AF: F782, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 20 02 DA)
PC: 021A, AF: F782, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DA 20 02 E2)
PC: 021D, AF: F782, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E2 23 02 CD)
PC: 0223, AF: F782, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C6 FE DA 2B)
PC: 0225, AF: F597, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DA 2B 02 CD)
PC: 022B, AF: F597, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 34 02 E2)
PC: 022E, AF: F597, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E2 34 02 FA)
PC: 0231, AF: F597, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FA 37 02 CD)
PC: 0237, AF: F597, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 00 DA 4F)
